bank,n_tokens,vocab_size,top1_token,top1_share
Peoples_Community_Bank,16,6,club,0.25
First_Northern_Bank,32,12,merchant,0.25
Watertown_Savings_Bank,32,9,mex,0.25
Farmer's_Bank,16,7,mtot,0.25
Great_Southern_Bank,25,6,merchant,0.24
Bank_of_the_Sierra,42,15,intuit,0.23809523809523808
R_Bank,17,8,shamrock,0.23529411764705882
Byron_Bank,17,6,innovative,0.23529411764705882
Farmers_Bank,34,11,merchant,0.23529411764705882
Citizens_Bank_&_Trust_Company,60,14,bryan,0.23333333333333334
Landmark_Credit_Union,60,9,capital,0.23333333333333334
Members_1st_Federal_Credit_Union,86,23,bankcd,0.23255813953488372
Farmers_Bank_&_Trust,26,9,intuit,0.23076923076923078
First_Savings_Bank,13,6,toast,0.23076923076923078
The_Honesdale_National_Bank,26,9,amzn.com,0.23076923076923078
Numerica_Credit_Union,219,44,faire,0.228310502283105
Meridian_Bank,18,8,ultraflex,0.2222222222222222
KodaBank,18,8,turno,0.2222222222222222
First_State_Bank_&_Trust,18,8,apple.com/bil,0.2222222222222222
ConnectOne_Bank,18,8,shopify,0.2222222222222222
CoVantage_Credit_Union,37,11,expansioncap,0.21621621621621623
Farmers_National_Bank,28,10,spectrum,0.21428571428571427
First_Federal_Savings_Bank,94,20,phils,0.2127659574468085
Broadway_Bank,38,15,jordencorporationss,0.21052631578947367
Northwest_Bank,38,17,nextgear,0.21052631578947367
sfcu,19,9,spectrum,0.21052631578947367
Citadel_Credit_Union,38,9,"spoton,",0.21052631578947367
Busey_Bank,48,12,tenkyu,0.20833333333333334
PeoplesSouth_Bank,24,9,patel,0.20833333333333334
BankPlus,49,16,the,0.20408163265306123
First_Interstate_Bank,59,21,access,0.2033898305084746
BankUnited,263,20,llc,0.20152091254752852
Eagle_Community_Credit_Union,20,5,amex,0.2
Lighthouse_Credit_Union,20,6,home,0.2
East_West_Bank,20,10,lightspeed,0.2
Old_Second_National_Bank,60,10,lifestyle,0.2
Independent_Financial,20,8,capital,0.2
Inwood_National_Bank,10,5,btot,0.2
Minnwest_Bank,10,5,wright,0.2
Xpectations!_Plus,20,8,js,0.2
GenoaBank,20,9,affirm.com,0.2
Field_&_Main_Bank,10,5,final,0.2
Amerant_Bank,10,5,premium,0.2
Bank_of_the_West,40,15,com,0.2
Heartland_Bank_and_Trust_Company,20,9,princeton,0.2
Benchmark_Community_Bank,25,10,expansioncapita,0.2
Hawaii_State_Federal_Credit_Union,10,6,service,0.2
Regent_Bank,20,9,cfgms,0.2
Androscoggin_Bank,10,5,nuttin',0.2
Carrollton_Bank,10,5,revenued,0.2
Union_Savings_Bank,10,5,barclaycard,0.2
Capital_City_Bank,10,5,invoicesimple,0.2
TBK_Bank,65,17,intuit,0.2
Byline_Bank,40,12,mutual,0.2
IU_Credit_Union,36,12,ahp,0.19444444444444445
Texas_First_Bank,52,12,&,0.19230769230769232
CCFBANK,52,10,motor,0.19230769230769232
KeyBank,26,10,expansioncapitalpmts,0.19230769230769232
Northwest,21,7,eriecustomtrus,0.19047619047619047
Blaze_Credit_Union,42,15,merch,0.19047619047619047
Members_Cooperative_Credit_Union,16,7,merchant,0.1875
Glenwood_State_Bank,16,7,heidi's,0.1875
Middlesex_Federal_Savings,32,11,pirate,0.1875
First_Merchants_Bank,32,11,jonathan,0.1875
First_IC_Bank,59,22,cds,0.1864406779661017
Teachers_Federal_Credit_Union,54,23,applecard,0.18518518518518517
Dundee_Bank,65,15,inc,0.18461538461538463
People's_Bank,22,9,sequilla,0.18181818181818182
First_Foundation_Bank,22,9,"toast,",0.18181818181818182
HomeTown_Bank,22,9,ls,0.18181818181818182
Bank_of_Pontiac,11,6,square,0.18181818181818182
Brannen_Bank,22,10,sba,0.18181818181818182
AmFirst,33,12,expansioncapital,0.18181818181818182
Newtown_Savings_Bank,22,10,-,0.18181818181818182
PenAir_Credit_Union,89,23,"spoton,",0.1797752808988764
Randolph-Brooks_Federal_Credit_Union,84,27,intuit,0.17857142857142858
Washington_Trust,45,14,cloak,0.17777777777777778
Washington_Trust_Bank,68,17,crunchbits,0.17647058823529413
Towne_Bank,34,11,square,0.17647058823529413
S&T_Bank,68,21,fh,0.17647058823529413
Peoples_Bank_Co.,34,13,peoples,0.17647058823529413
TruStone_Financial,34,11,fleetcor,0.17647058823529413
Jovia_Financial_Credit_Union,46,13,lincoln,0.17391304347826086
Frost_Bank,23,9,caterpillar,0.17391304347826086
First_Keystone_Community_Bank,35,16,cfgms,0.17142857142857143
Keesler_Federal_Credit_Union,47,13,"spoton,",0.1702127659574468
Shopify_Balance,47,15,wayflyer,0.1702127659574468
California_Bank_&_Trust,59,20,intuit,0.1694915254237288
State_Nebraska_Bank_&_Trust,12,6,wayne,0.16666666666666666
Civista_Bank,24,11,affirm.com,0.16666666666666666
Canandaigua_National_Bank_&_Trust,24,11,adobe,0.16666666666666666
Security_Service_Federal_Credit_Union,24,10,credit,0.16666666666666666
"PNC_Bank,_N.A",12,6,brightspeed,0.16666666666666666
Citi,12,6,publix,0.16666666666666666
Banc_of_California,60,12,wells,0.16666666666666666
Valliance_Bank,24,11,snpo,0.16666666666666666
First_National_Bank_Alaska,12,6,intuit,0.16666666666666666
Oklahoma_Central_Credit_Union,24,7,master,0.16666666666666666
Michigan_First_Credit_Union,24,10,mi,0.16666666666666666
Metro_Bank,24,11,mcd,0.16666666666666666
Members_First_Credit_Union_of_Florida,24,6,retro,0.16666666666666666
FNB_Bank,12,6,pizza,0.16666666666666666
My_Community_Credit_Union,12,6,metro,0.16666666666666666
SalemFive,12,6,autozone,0.16666666666666666
Rivermark_Community_Credit_Union,12,6,u.s.,0.16666666666666666
Riverland_Bank,12,8,nationa,0.16666666666666666
Somerset_Trust_Company,61,19,chase,0.16393442622950818
BancFirst,178,51,carter,0.16292134831460675
Amegy_Bank,393,108,intuit,0.1628498727735369
The_First_Bank,87,31,sassy,0.16091954022988506
SELCO_Community_Credit_Union,50,21,inc,0.16
Ocean_Bank,69,16,m,0.15942028985507245
A&S_Federal_Credit_Union,63,18,square,0.15873015873015872
RBFCU,63,18,the,0.15873015873015872
Centier_Bank,63,26,expansioncapital,0.15873015873015872
Columbia_Bank,76,23,intuit,0.15789473684210525
Fortifi_Bank,45,14,mcd,0.15555555555555556
Union_Bank_&_Trust,71,23,one,0.15492957746478872
TLC_Community_Credit_Union,26,12,square,0.15384615384615385
Rockland_Trust,26,10,llc,0.15384615384615385
Bank_of_Hope,26,10,spectrum,0.15384615384615385
Arvest_Bank,26,11,kaylee,0.15384615384615385
Needham_Bank,39,15,slice,0.15384615384615385
Enterprise_Bank_&_Trust,26,10,sopo,0.15384615384615385
Bethpage_Federal_Credit_Union,26,11,restaurant,0.15384615384615385
Liberty_Bank,59,21,intuit,0.15254237288135594
1st_Source_Bank,73,24,intuit,0.1506849315068493
PB&T_Bank,40,13,main,0.15
Bank_of_America,60,15,biska,0.15
FirstLight_Federal_Credit_Union,54,16,merchant,0.14814814814814814
Oak_Valley_Community_Bank,27,12,slice,0.14814814814814814
First_Community_Bank,27,12,facebk,0.14814814814814814
Settlers_best_Credit_Union,27,11,ups,0.14814814814814814
Stock_Yards_Bank_&_Trust,27,11,oh,0.14814814814814814
Alliance_Bank,27,7,rsr,0.14814814814814814
Centennial_Bank,41,16,speakeasy,0.14634146341463414
Plumas_Bank,41,12,toast,0.14634146341463414
Bangor_Savings_Bank,90,26,square,0.14444444444444443
First_Financial_Bank,14,8,gainwelltech,0.14285714285714285
Farmers_Bank_of_Willards,14,7,capital,0.14285714285714285
Nicolet_National_Bank,56,17,w,0.14285714285714285
Bluevine,84,32,pirate,0.14285714285714285
Citywide_Banks,28,12,hula's,0.14285714285714285
Cooperative_Bank_of_Cape_Cod,14,8,ondeck,0.14285714285714285
Wilson_Bank_&_Trust,14,7,potters,0.14285714285714285
Mechanics_Bank,28,13,barclaycard,0.14285714285714285
Arvest,21,11,caseys,0.14285714285714285
North_Shore_Bank,14,7,crosby's,0.14285714285714285
Citizens,28,11,circle,0.14285714285714285
Windsor_Federal_Bank,28,13,modern,0.14285714285714285
First_Bank_&_Trust_Company,28,11,square,0.14285714285714285
Shore_United_Bank,28,14,mtot,0.14285714285714285
OneAZ_Credit_Union,143,44,intuit,0.13986013986013987
OUR_Credit_Union,86,17,amex,0.13953488372093023
Altra_Federal_Credit_Union,58,23,underdog,0.13793103448275862
State_Bank,29,11,corner,0.13793103448275862
Notre_Dame_Federal_Credit_Union,29,11,central,0.13793103448275862
Flagstar_Bank,44,18,bank,0.13636363636363635
Oregon_State_Credit_Union,22,11,affirm.com,0.13636363636363635
Pinnacle_Bank,44,22,rtppropertiesnc,0.13636363636363635
Freedom_Bank,59,13,high,0.13559322033898305
Ent_Credit_Union,119,32,intuit,0.13445378151260504
Capitol_Federal,30,13,capitol,0.13333333333333333
Santander,30,14,expansioncapital,0.13333333333333333
Wintrust_Bank,15,8,amex,0.13333333333333333
MIDFLORIDA,30,14,inc,0.13333333333333333
"JPMorgan_Chase_Bank,_N.A",60,22,united,0.13333333333333333
Grasshopper_Bank,46,17,burn,0.13043478260869565
Bank_of_Brookhaven,46,19,expansion,0.13043478260869565
Regions_Bank,62,24,infusion,0.12903225806451613
Michigan_Schools_&_Government_Credit_Union,62,22,blue,0.12903225806451613
Hanmi_Bank,31,14,service,0.12903225806451613
Novo,39,18,earnin,0.1282051282051282
Provident_Credit_Union,63,22,hubbs,0.12698412698412698
First_National_Bank_of_Mount_Dora,63,22,brionez,0.12698412698412698
U.S._Bank,79,21,designs,0.12658227848101267
Camden_National_Bank,80,28,lowes,0.125
Johnson_Bank,32,15,setlmt,0.125
Citizens_State_Bank,16,8,warren,0.125
Bankwell,16,8,silver,0.125
5_STAR_BANK,32,14,unitedhealthcare,0.125
Stockman_Bank,32,15,woodsprings,0.125
Canvas_Credit_Union,81,27,brandon,0.12345679012345678
Frost,81,31,bnkcd,0.12345679012345678
"Wells_Fargo_Bank,_N.A",65,20,bamboo,0.12307692307692308
Redwood_Credit_Union,98,29,merchant,0.12244897959183673
Barksdale_Federal_Credit_Union,98,27,wal-mart,0.12244897959183673
Navigant_Credit_Union,90,29,get,0.12222222222222222
Lincoln_Savings_Bank,33,14,square,0.12121212121212122
HomeBank,66,26,kraken.com,0.12121212121212122
Space_Coast_Credit_Union,50,17,expansioncapital,0.12
Academy_Bank,50,21,the,0.12
Glacier_Family_of_Banks,34,15,paint,0.11764705882352941
F&M_Bank,68,21,salco,0.11764705882352941
Dime,34,11,fireside,0.11764705882352941
Simmons_Bank,34,16,intuit,0.11764705882352941
Idaho_Central_Credit_Union,51,20,maverik,0.11764705882352941
1st_Security_Bank,34,12,barclaycard,0.11764705882352941
Kennebec_Savings_Bank,34,15,irving,0.11764705882352941
Mercury,34,17,amex,0.11764705882352941
Bar_Harbor_Bank_&_Trust,34,16,google,0.11764705882352941
First_Citizens_Bank,34,12,capital,0.11764705882352941
Mountain_America_Credit_Union,60,26,inc.,0.11666666666666667
Equity_Bank,35,17,time,0.11428571428571428
BOK_FINANCIAL,35,14,jobber,0.11428571428571428
Origin_Bank,53,24,intuit,0.11320754716981132
South_Carolina_Federal_Credit_Union,54,23,parkers,0.1111111111111111
First_Fidelity_Bank,99,32,amazon.com,0.1111111111111111
Seasons_Federal_Credit_Union,72,22,centric,0.1111111111111111
Partners_Bank,18,9,guest,0.1111111111111111
America_First_Federal_Credit_Union,36,17,intuit,0.1111111111111111
DARTBANK,18,10,venmo,0.1111111111111111
First_Bank_Texas,36,13,city,0.1111111111111111
Five_Points_Bank,18,9,walgreens,0.1111111111111111
West_Coast_Community_Bank,18,9,chase,0.1111111111111111
Atlantic_Union_Bank,18,10,eats,0.1111111111111111
FOUND,126,45,piermont,0.1111111111111111
ESL_Federal_Credit_Union,18,9,adt,0.1111111111111111
Commercial_Bank_and_Trust_Company,18,9,stones,0.1111111111111111
UFCU,307,67,pnc,0.11074918566775244
Telhio_Credit_Union,37,17,manychat.com,0.10810810810810811
"Citibank,_N.A.",37,16,kvd,0.10810810810810811
Global_Federal_Credit_Union,111,36,intuit,0.10810810810810811
BMO,56,20,com,0.10714285714285714
Tompkins_Bank,112,38,merch,0.10714285714285714
Four_Leaf,56,23,inc,0.10714285714285714
United_Bank,56,24,mckenzie,0.10714285714285714
Republic_Bank,75,30,soham,0.10666666666666667
TruMark_Financial_Credit_Union,66,27,glossgenius,0.10606060606060606
GuarantyBank,66,27,affirm.com,0.10606060606060606
Eastern_Bank,38,15,amazi,0.10526315789473684
INTRUST_Bank,38,15,faire,0.10526315789473684
Goldenwest_Credit_Union,143,44,intuit,0.1048951048951049
Southern_Bank,77,32,huddle,0.1038961038961039
Southern_Michigan_Bank_&_Trust,58,21,5/3,0.10344827586206896
DecisionLogic,1279,195,innovox,0.10320562939796717
Dupaco_Credit_Union,68,19,herbalife,0.10294117647058823
Kirkpatrick_Bank,39,19,joist,0.10256410256410256
First_Community,39,18,amazon.com,0.10256410256410256
Thread_Bank,39,19,llc,0.10256410256410256
Merrimack_County_Savings_Bank,88,35,dunkin,0.10227272727272728
Lake_Trust,59,19,star,0.1016949152542373
Huntington_National_Bank,79,20,prime,0.10126582278481013
Integrity_Bank_&_Trust,20,11,the,0.1
Rogue_Credit_Union,20,10,rogue,0.1
Capital_Bank,40,18,fantastic,0.1
MidFirst_Bank,20,10,prime,0.1
MidwestOne_Bank,40,18,bar,0.1
Farmers_State_Bank,20,10,dollar,0.1
WSFS_Bank,40,17,thumbtack,0.1
Beverly_Bank,20,12,kohls,0.1
Southwest_Bank,20,10,murphy,0.1
First_American_Bank,40,16,usps,0.1
Bank_of_Oklahoma,40,19,amazon,0.1
Silicon_Valley_Bank,20,10,weiss,0.1
First_Tech_Federal_Credit_Union,70,24,adp,0.1
First_1_Bank,61,19,leals,0.09836065573770492
Rave_Financial,41,12,accurate,0.0975609756097561
Capital_One,41,16,unitedhealthcare,0.0975609756097561
Neighbors_Federal_Credit_Union,72,24,payroll,0.09722222222222222
GenFed_Financial,124,33,one,0.0967741935483871
Synergy_Bank,62,28,s,0.0967741935483871
First_State_Bank,31,16,oklahomataxpmts,0.0967741935483871
Colony_Bank,21,12,real,0.09523809523809523
STAR_Financial_Bank,42,18,marcum,0.09523809523809523
M&T_Bank,84,35,adp,0.09523809523809523
Fifth_Third_Bank,42,16,a-z,0.09523809523809523
Lake_Ridge_Bank,64,25,life,0.09375
City_National_Bank,64,30,llc,0.09375
Webster_Bank,32,16,capital,0.09375
Ponce_Bank,43,20,merch,0.09302325581395349
b1BANK,43,22,la,0.09302325581395349
Sanibel_Captiva_Community_Bank,43,21,nte,0.09302325581395349
First_State_Community_Bank,44,21,brickhouse,0.09090909090909091
Community_West_Bank,44,17,fundbox,0.09090909090909091
Bank_of_Colorado,22,11,novitas,0.09090909090909091
California_Bank_of_Commerce,44,17,accurate,0.09090909090909091
First_National_Bank,44,18,spur,0.09090909090909091
First_Hawaiian_Bank,22,11,amro-asian,0.09090909090909091
TD_Bank,44,23,bankcard,0.09090909090909091
"Capital_One,_N.A",22,11,progressivelease,0.09090909090909091
Live_Oak_Bank,22,11,drdrzdpu,0.09090909090909091
Tioga_State_Bank,44,18,amazon.com,0.09090909090909091
First_Heritage_Federal_Credit_Union,22,11,tiktok,0.09090909090909091
Travis_Credit_Union,22,11,apple,0.09090909090909091
Texas_Regional_Bank,22,11,trane,0.09090909090909091
River_Bank_&_Trust,45,19,inc,0.08888888888888889
Kitsap_Credit_Union,68,20,co,0.08823529411764706
TowneBank,68,25,expansioncapital,0.08823529411764706
NBT_Bank,92,33,otsego,0.08695652173913043
CommunityAmerica_Credit_Union,92,29,coinbase.com,0.08695652173913043
Citizens_Business_Bank,46,21,management,0.08695652173913043
GTE_Federal_Credit_Union,46,21,credit,0.08695652173913043
Southside_Bank,46,22,etv,0.08695652173913043
United_Federal_Credit_Union,70,25,merchant,0.08571428571428572
Bank_of_Clarke,47,19,ondeck,0.0851063829787234
Wright-Patt_Credit_Union,94,29,intuit,0.0851063829787234
NewtekBank,24,12,jill,0.08333333333333333
Old_National_Bank,24,12,cardmember,0.08333333333333333
Huntington,48,14,wm,0.08333333333333333
Desert_Financial_Credit_Union,24,13,tempe,0.08333333333333333
First_Bank,72,28,nc,0.08333333333333333
Cathay_Bank,48,16,"doordash,",0.08333333333333333
Visions_Federal_Credit_Union,120,40,amazon,0.08333333333333333
Utah_Community_Credit_Union,48,22,afcu,0.08333333333333333
Armstrong_Bank,24,12,premier,0.08333333333333333
Suffolk_Credit_Union,24,12,fearless,0.08333333333333333
American_Savings_Bank,97,28,atlantic,0.08247422680412371
BECU,182,57,squareup.com,0.08241758241758242
Village_Bank,73,30,merchant,0.0821917808219178
Digital_Federal_Credit_Union,73,30,meged,0.0821917808219178
Citibank,73,23,prime,0.0821917808219178
Valley_National_Bank,75,30,spartan,0.08
Dime_Community_Bank,50,20,doordash,0.08
4Front_Credit_Union,100,26,capital,0.08
Resource_One_Credit_Union,50,18,sanmar,0.08
Square,101,38,activities,0.07920792079207921
First_International_Bank_&_Trust,51,23,starbucks,0.0784313725490196
Umpqua_Bank,102,39,the,0.0784313725490196
Zions_Bank,204,57,pay,0.0784313725490196
BMO_Harris_Bank,51,24,square,0.0784313725490196
TriCity_National_Bank,51,20,chandel,0.0784313725490196
Empower_Federal_Credit_Union,90,34,delta,0.07777777777777778
Fidelity_Bank,103,40,intuit,0.07766990291262135
Citizens_Bank,52,21,allstate,0.07692307692307693
WaFd_Bank,52,24,muckleshoot,0.07692307692307693
First_Cahawba_Bank,52,23,mr,0.07692307692307693
Gulf_Coast_Bank,26,13,water,0.07692307692307693
RCB_Bank,156,51,memorial,0.07692307692307693
Service_Credit_Union,52,21,lawn,0.07692307692307693
ORNL_Federal_Credit_Union,105,34,n,0.0761904761904762
FirstBank,105,37,theresa,0.0761904761904762
Regions_Bank_b22,53,23,the,0.07547169811320754
Valley,80,29,jle,0.075
Farmers,107,37,amzn.com,0.07476635514018691
Educators_Credit_Union,108,25,intuit,0.07407407407407407
First_Metro_Bank,27,14,ebay,0.07407407407407407
German_American_Bank,54,25,co,0.07407407407407407
Dacotah_Bank,81,31,lazy,0.07407407407407407
Morris_Bank,55,25,ronald,0.07272727272727272
Robins_Financial_Credit_Union,56,28,lowe's,0.07142857142857142
Bank_of_Texas,56,26,next,0.07142857142857142
ACNB_Bank,56,23,j,0.07142857142857142
Grow_Financial,56,23,adp,0.07142857142857142
Pacific_Premier_Bank,56,26,loves,0.07142857142857142
American_Eagle_Financial_Credit_Union,28,14,state,0.07142857142857142
Hudson_Valley_Credit_Union,98,36,bankcard,0.07142857142857142
Lili,56,30,inc,0.07142857142857142
Nevada_State_Bank,56,27,club,0.07142857142857142
Navy_Federal_Credit_Union,28,14,repeatmd,0.07142857142857142
Brex,28,14,mindspring,0.07142857142857142
Mainstreet_Community_Bank_of_Florida,28,14,aldi,0.07142857142857142
plaid_report_type1,217,74,delta,0.06912442396313365
OakStar_Bank,87,40,s,0.06896551724137931
Gate_City_Bank,87,37,target,0.06896551724137931
Community_First_Credit_Union,58,27,amazon.com,0.06896551724137931
America_First_Credit_Union,265,103,non-afcu,0.06792452830188679
Orrstown_Bank,59,28,apple.com,0.06779661016949153
BMO_Bank,59,29,merchant,0.06779661016949153
IBC_Bank,59,28,amex,0.06779661016949153
First_Commonwealth_Bank,89,30,cenk,0.06741573033707865
Horizon_Bank,30,15,citi,0.06666666666666667
Bristol_Morgan_Bank,30,15,credit,0.06666666666666667
Park_National_Bank,92,39,llc,0.06521739130434782
Eastman_Credit_Union,62,28,ethan,0.06451612903225806
Royal_Credit_Union,62,25,paymentech,0.06451612903225806
Amarillo_National_Bank,78,33,amarillo,0.0641025641025641
Burke_&_Herbert_Bank,94,40,turno,0.06382978723404255
Frontier_Credit_Union,63,21,o'reilly,0.06349206349206349
"Citibank,_N.A",63,28,nene,0.06349206349206349
Pinnacle,95,43,inc,0.06315789473684211
Lake_Michigan_Credit_Union,127,37,bankcard,0.06299212598425197
SouthState,32,18,654,0.0625
Heritage_Bank,32,16,externaldepositpropay,0.0625
TwinStar_Credit_Union,64,22,capital,0.0625
Community_Choice_Credit_Union,129,41,prime,0.06201550387596899
Lindell_Bank,65,24,comb,0.06153846153846154
OceanFirst_Bank,98,39,simon,0.061224489795918366
United_Community,33,18,shelloil,0.06060606060606061
Commerce_Bank,66,31,pgba,0.06060606060606061
Guaranty_Bank_&_Trust,67,27,wells,0.05970149253731343
San_Diego_County_Credit_Union,67,31,sean,0.05970149253731343
Achieva_Credit_Union,186,81,amazon.com,0.05913978494623656
BayPort_Credit_Union,136,44,remax,0.058823529411764705
Coastal_Carolina_National_Bank,68,32,amzn.com,0.058823529411764705
Delta_Community_Credit_Union,137,47,capital,0.058394160583941604
Alpine_Bank,137,58,capital,0.058394160583941604
Citizens_National_Bank,70,33,merchant,0.05714285714285714
Palo_Savings_Bank,140,44,st,0.05714285714285714
VyStar_Credit_Union,70,23,ebay,0.05714285714285714
Platte_Valley_Bank,70,34,netflix.com,0.05714285714285714
Vermont_Federal_Credit_Union,53,26,maplefields,0.05660377358490566
Synovus,71,28,amazon,0.056338028169014086
First_United_Bank,71,23,adp,0.056338028169014086
OnPoint_Community_Credit_Union,36,18,revenued,0.05555555555555555
ICCU,110,44,ian,0.05454545454545454
Tri_Counties_Bank,111,39,dds,0.05405405405405406
Customers_Bank,37,19,ups,0.05405405405405406
Central_Bank,38,19,o'reilly,0.05263157894736842
Valley_Strong_Credit_Union,77,28,spoton's,0.05194805194805195
FNBO,77,35,epic,0.05194805194805195
Comerica_Bank,40,21,microsoft,0.05
Truist_Bank,40,20,amazon.com,0.05
BankFirst,80,36,expansioncapital,0.05
Bank_OZK,122,60,amzn.com,0.04918032786885246
First_Horizon,164,50,bcbs-nc,0.04878048780487805
California_Bank_Trust,168,57,intuit,0.047619047619047616
Stellar_Bank,85,37,luis,0.047058823529411764
Consumers_Credit_Union,172,54,aamco,0.046511627906976744
Old_Plank_Trail_Community_Bank,44,23,expansioncapital,0.045454545454545456
Texas_Bank_and_Trust,88,36,city,0.045454545454545456
Anderson_Brothers_Bank,90,36,wal-mart,0.044444444444444446
Langley,90,44,&,0.044444444444444446
Del_Norte_Bank,270,75,humana,0.044444444444444446
Redstone_Federal_Credit_Union,140,60,viri,0.04285714285714286
Central_State_Bank,141,62,city,0.0425531914893617
First_National_Bank_of_Omaha,96,48,newport,0.041666666666666664
Woodforest_National_Bank,97,47,btot,0.041237113402061855
Morton_Community_Bank,51,26,usliabilityinsur,0.0392156862745098
MSU_Federal_Credit_Union,102,46,pete,0.0392156862745098
Everwise_Credit_Union,53,27,merchant,0.03773584905660377
Manasquan_Bank,60,30,toast,0.03333333333333333
SouthState_Bank,93,47,upstart,0.03225806451612903
California_Credit_Union,63,32,cvs,0.031746031746031744
plaid_report_type2,693,185,fis,0.02886002886002886
Suncoast_Credit_Union,152,60,intuit,0.02631578947368421
